Urban Studies	On the absurdity of rapid urbanization: Spatio-temporal analysis of land-use changes in Morogoro, Tanzania
Nursing	"""But Perhaps they could Reduce the Suffering?"" Parents' Ambivalence toward Participating in Forced Peripheral Vein Cannulation Performed on their Preschool-Aged Children"
Women'S Studies	Complicit Sisters: Gender and Women's Issues Across North-South Divides
Health Policy & Services	Professionalism in Medicine
Business	Pursuing Attainment versus Maintenance Goals: The Interplay of Self-Construal and Goal Type on Consumer Motivation
Geography	Space-time personalized short message service (SMS) for infectious disease control - Policies for precise public health
Anthropology	Correlations between dental wear and oral cavity characteristics: Mandibular torus, palatine torus, and oral exostoses
Public Administration	Dynamics of Public Service Motivation: Attraction-Selection and Socialization in the Production and Regulation of Social Services
Environmental Studies	Lost in Things An Archaeologist's Perspective on the Epistemological Potential of Objects
Psychology, Multidisciplinary	What Do Book Awards Signal? An Analysis of Book Awards in Three Countries
Geography	Down and out in Los Angeles and Berlin: the sociospatial exclusion of homeless people
History	For All of Humanity: Mesoamerican and Colonial Medicine in Enlightenment Guatemala
Public, Environmental & Occupational Health	Introduction to the special issue
Information Science & Library Science	Winter of the Gods. Orbit: Hachette
Urban Studies	FORECLOSURE IS NOT AN EQUAL OPPORTUNITY STRESSOR: HOW INEQUALITY FUELS THE ADVERSE HEALTH IMPLICATIONS OF THE NATION'S FINANCIAL CRISIS
Political Science	Unlikely Mobilisation and Apprenticeship of a Trade-Unionist Repertoire
Transportation	Evaluating the external costs of trailer transport: a comparison of sea and road
Law	BECOMING A FIFTH BRANCH
Ethics	Biblical Gardens in Word Culture: Genesis and History
Social Sciences, Biomedical	Fringe biotechnology
Health Policy & Services	Seen through the patients' eyes: surgical safety and checklists
Social Sciences, Biomedical	The New Old Books Forum
Family Studies	Understanding informal kinship care: a critical narrative review of theory and research
Economics	Ageism, honesty, and trust
Industrial Relations & Labor	Are Workers' Rights Human Rights?
Gerontology	Going for the Gusto: Competing for the First Time at Age 65
Ethics	Moral Reality and the Empirical Sciences
Ethics	PEER RESEARCH ASSISTANTSHIPS AND THE ETHICS OF RECIPROCITY IN COMMUNITY-BASED RESEARCH
Hospitality, Leisure, Sport & Tourism	Causal Maps and Indirect Influences Analysis in the Diagnosis of Second-Home Tourism Impacts
Social Sciences, Interdisciplinary	Workaholism From a Cross-Cultural Perspective
Rehabilitation	Development of a scoring tool (BLARt score) to predict functional outcome in lower limb amputees
Health Policy & Services	Aging And Health
Business	"Emerging market MNCs"" cross-border acquisition completion: Institutional image and strategies"
Regional & Urban Planning	The Strategic Choice Approach: An Underrated Set of Methods for Spatial Planning in Germany
Cultural Studies	Introduction to the first edition of Cultural Commons
History Of Social Sciences	Transcultural cities: border-crossing and placemaking
Environmental Studies	Inclusive governance: New concept of water supply and sanitation services in social vulnerability areas
Cultural Studies	In Love with the World
Management	Is There One Unifying Concept of Utility? An Experimental Comparison of Utility Under Risk and Utility Over Time
Communication	Vibrant Matter: A Political Ecology of Things
Industrial Relations & Labor	The Global Union Federations and temporary labour migration in Malaysia
Business, Finance	International diversification during the financial crisis: A blessing for equity investors?
Education, Special	Functioning and participation problems of students with ADHD in higher education: which reasonable accommodations are effective?
Sociology	Beyond Reproduction: Women's Health, Activism, and Public Policy
Environmental Studies	Frogs Call at a Higher Pitch in Traffic Noise
Education, Special	The impact of cognitive assessment on the identity of people with learning disabilities
Social Work	Children's Experience of Sport: What Do We Really Know?
Rehabilitation	Untitled Response
Education, Special	Addressing Challenging Behaviors in Head Start: A Closer Look at Program Policies and Procedures
Law	Privacy Revisited: A Global Perspective on the Right to Be Left Alone
Political Science	Paleo Politics What made hunter-gatherers give up freedom for civilization?
Demography	Does Hypersegregation Matter for Black-White Socioeconomic Disparities?
History & Philosophy Of Science	Three Generations, No Imbeciles: Eugenics, the Supreme Court, and Buck v. Bell (vol 100, pg 953, 2009)
Substance Abuse	Characteristics of Suicide Attempters and Ideators in a Clinical Sample of Substance Users
Social Sciences, Interdisciplinary	Logic-based Reputation Model in e-Commerce Simulation
History & Philosophy Of Science	A critique of the principle of cognitive simplicity in comparative cognition
Rehabilitation	A Guttman Scale to Assess Knowledge About Sexually Transmitted Diseases in Adults with Cerebral Palsy
History	In Defence of the Scottish Enlightenment: Dugald Stewart's role in the 1805 John Leslie Affair
Gerontology	Farewell to old legacies? The introduction of long-term care insurance in South Korea
Psychology, Multidisciplinary	Humour and Laughter in History: Transcultural Perspectives.
Ethics	The Closeness Problem for Double Effect: A Reply to Nelkin and Rickless
Information Science & Library Science	Humanoids
Cultural Studies	On cultural studies, again
Women'S Studies	"Female Teachers"" Perceptions of Gender Bias in Pakistani English Textbooks"
Economics	Robust and fragile determinants of the infection and case fatality rates of Covid-19: international cross-sectional evidence
Social Sciences, Biomedical	Militarising the Mind: Assessing the Weapons of the Ultimate Battlefield
Political Science	Fictions of Justice
Social Sciences, Biomedical	Oestrogen receptors and breast cancer: are we prepared to move forward? A critical review
Sociology	Legacies of civil wars: A 14-year study of social conflicts and well-being outcomes in farming economies
Ethics	The concept of Lichnost' in criminal law theory, 1860s-1900s
Social Issues	SEXUAL DIVERSITY AND DIVINE CREATION: A TIGHTROPE WALK BETWEEN CHRISTIANITY AND SCIENCE
Family Studies	Infertility and relationships: the importance of constructions in context
Political Science	Assessing an Undergraduate Curriculum: The Evolving Roles of Subfields, Methods, Ethics, and Writing for Government Majors
Social Issues	WHY ZYGON? THE JOURNAL'S ORIGINAL VISIONS AND THE FUTURE OF RELIGION-AND-SCIENCE
Public Administration	Beyond the Usual Suspects: New Research Themes in Comparative Public Policy
Industrial Relations & Labor	German trade unions and right extremism: Understanding membership attitudes
Criminology & Penology	The Role of Self-Regulation in Academic and Behavioral Paths to a High School Diploma
Law	A SHIELD FOR DAVID AND A SWORD AGAINST GOLIATH: PROTECTING ASSOCIATION WHILE COMBATTING DARK MONEY THROUGH PROPORTIONALITY
History & Philosophy Of Science	The forced reproduction of knowledge. Medical repertories of lexicographical interest prior to printing
History Of Social Sciences	One idea, many plans: an American city design concept in independent India
Communication	Making Change: Diffusion of Technological, Relational, and Cultural Innovation in the Newsroom
Ethics	Oxford Studies in Normative Ethics, vol 5
Cultural Studies	Gamification and Other Forms of Play
Demography	Integration of aspiring artists: Japanese music students in Germany
Public, Environmental & Occupational Health	Philosophy of Population Health
Geography	Land in Motion
Women'S Studies	Sexual violence in Iraq: Challenges for transnational feminist politics
